1;2024-01-01;3;2
1;2024-01-01;20;1
2;2024-01-02;11;1
3;2024-01-03;21;3
4;2024-01-04;5;1
4;2024-01-04;9;2
5;2024-01-05;14;1
6;2024-01-06;18;2
6;2024-01-06;26;1
7;2024-01-07;2;3
8;2024-01-08;7;1
9;2024-01-09;12;1
9;2024-01-09;17;2
10;2024-01-10;19;1
11;2024-01-11;4;2
12;2024-01-12;10;1
13;2024-01-13;13;1
14;2024-01-14;16;2
15;2024-01-15;22;1
16;2024-01-16;1;3
17;2024-01-17;8;1
18;2024-01-18;15;1
19;2024-01-19;17;2
20;2024-01-20;23;1
21;2024-01-21;3;2
22;2024-01-22;6;1
23;2024-01-23;11;1
24;2024-01-24;18;2
25;2024-01-25;20;1
26;2024-01-26;5;2
27;2024-01-27;9;1
28;2024-01-28;14;1
29;2024-01-29;16;2
30;2024-01-30;21;1
31;2024-01-31;2;2
32;2024-02-01;7;1
33;2024-02-02;12;1
34;2024-02-03;17;2
35;2024-02-04;19;1
36;2024-02-05;4;2
37;2024-02-06;10;1
38;2024-02-07;13;1
39;2024-02-08;18;2
40;2024-02-09;22;1
41;2024-02-10;1;3
42;2024-02-11;8;1
43;2024-02-12;15;1
44;2024-02-13;16;2
45;2024-02-14;23;1
46;2024-02-15;3;2
47;2024-02-16;6;1
48;2024-02-17;11;1
49;2024-02-18;17;2
50;2024-02-19;20;1
51;2024-02-20;5;2
52;2024-02-21;9;1
53;2024-02-22;14;1
54;2024-02-23;16;2
55;2024-02-24;21;1
56;2024-02-25;2;2
57;2024-02-26;7;1
58;2024-02-27;12;1
59;2024-02-28;17;2
60;2024-02-29;19;1
61;2024-03-01;4;2
62;2024-03-02;10;1
63;2024-03-03;13;1
64;2024-03-04;18;2
65;2024-03-05;22;1
66;2024-03-06;1;3
67;2024-03-07;8;1
68;2024-03-08;15;1
69;2024-03-09;16;2
70;2024-03-10;23;1
71;2024-03-11;3;2
72;2024-03-12;6;1
73;2024-03-13;11;1
74;2024-03-14;17;2
75;2024-03-15;20;1
76;2024-03-16;5;2
77;2024-03-17;9;1
78;2024-03-18;14;1
79;2024-03-19;16;2
80;2024-03-20;21;1
81;2024-03-21;2;2
82;2024-03-22;7;1
83;2024-03-23;12;1
84;2024-03-24;17;2
85;2024-03-25;19;1
86;2024-03-26;4;2
87;2024-03-27;10;1
88;2024-03-28;13;1
89;2024-03-29;18;2
90;2024-03-30;22;1
91;2024-03-31;1;3
92;2024-04-01;8;1
93;2024-04-02;15;1
94;2024-04-03;16;2
95;2024-04-04;23;1
96;2024-04-05;3;2
97;2024-04-06;6;1
98;2024-04-07;11;1
99;2024-04-08;17;2
100;2024-04-09;20;1
101;2024-04-10;5;2
102;2024-04-11;9;1
103;2024-04-12;14;1
104;2024-04-13;16;2
105;2024-04-14;21;1
106;2024-04-15;2;2
107;2024-04-16;7;1
108;2024-04-17;12;1
109;2024-04-18;17;2
110;2024-04-19;19;1
111;2024-04-20;4;2
112;2024-04-21;10;1
113;2024-04-22;13;1
114;2024-04-23;18;2
115;2024-04-24;22;1
116;2024-04-25;1;3
117;2024-04-26;8;1
118;2024-04-27;15;1
119;2024-04-28;16;2
120;2024-04-29;23;1
121;2024-04-30;3;2
122;2024-05-01;6;1
123;2024-05-02;11;1
124;2024-05-03;17;2
125;2024-05-04;20;1
126;2024-05-05;5;2
127;2024-05-06;9;1
128;2024-05-07;14;1
129;2024-05-08;16;2
130;2024-05-09;21;1
131;2024-05-10;2;2
132;2024-05-11;7;1
133;2024-05-12;12;1
134;2024-05-13;17;2
135;2024-05-14;19;1
136;2024-05-15;4;2
137;2024-05-16;10;1
138;2024-05-17;13;1
139;2024-05-18;18;2
140;2024-05-19;22;1
141;2024-05-20;1;3
142;2024-05-21;8;1
143;2024-05-22;15;1
144;2024-05-23;16;2
145;2024-05-24;23;1
146;2024-05-25;3;2
147;2024-05-26;6;1
148;2024-05-27;11;1
149;2024-05-28;17;2
150;2024-05-29;20;1
151;2024-05-30;5;2
152;2024-05-31;9;1
153;2024-06-01;14;1
154;2024-06-02;16;2
155;2024-06-03;21;1
156;2024-06-04;2;2
157;2024-06-05;7;1
158;2024-06-06;12;1
159;2024-06-07;17;2
160;2024-06-08;19;1
161;2024-06-09;4;2
162;2024-06-10;10;1
163;2024-06-11;13;1
164;2024-06-12;18;2
165;2024-06-13;22;1
166;2024-06-14;1;3
167;2024-06-15;8;1
168;2024-06-16;15;1
169;2024-06-17;16;2
170;2024-06-18;23;1
171;2024-06-19;3;2
172;2024-06-20;6;1
173;2024-06-21;11;1
174;2024-06-22;17;2
175;2024-06-23;20;1
176;2024-06-24;5;2
